status,stockNo,nPtr,lDate,lTimehms,lTimemillismicros,nBid,nAsk,nClose,nQty,nSimulate,addSubNQty
history,TX00,15958,20200527,83005,0,0,0,1089400,32,1,+32
history,TX00,15959,20200527,83010,0,1089400,1090000,1093500,34,1,+34
history,TX00,15960,20200527,83015,0,1093000,1095900,1094300,34,1,#34
history,TX00,15961,20200527,83020,0,1094300,1095900,1094300,34,1,-34
history,TX00,15962,20200527,83025,0,1094300,1095900,1094300,34,1,-34
history,TX00,15963,20200527,83030,0,1094300,1095900,1094300,35,1,-35
history,TX00,15964,20200527,83035,0,1094300,1095900,1094300,36,1,-36
history,TX00,15965,20200527,83040,0,1094300,1095900,1094300,36,1,-36
history,TX00,15966,20200527,83045,0,1094300,1095900,1095100,37,1,#37
history,TX00,15967,20200527,83050,0,1095100,1095900,1095100,37,1,-37
history,TX00,15968,20200527,83055,0,1095100,1095900,1095900,41,1,+41
history,TX00,15969,20200527,83100,0,1095800,1095900,1096000,44,1,+44
history,TX00,15970,20200527,83105,0,1096000,1096100,1096100,44,1,+44
history,TX00,15971,20200527,83110,0,1096000,1096100,1096100,45,1,+45
history,TX00,15972,20200527,83115,0,1096000,1096100,1096100,45,1,+45
history,TX00,15973,20200527,83120,0,1096000,1096100,1096100,45,1,+45
history,TX00,15974,20200527,83125,0,1096000,1096100,1096100,51,1,+51
history,TX00,15975,20200527,83130,0,1096100,1096300,1096100,51,1,-51
history,TX00,15976,20200527,83135,0,1096100,1096300,1096100,51,1,-51
history,TX00,15977,20200527,83140,0,1096100,1096300,1096100,51,1,-51
history,TX00,15978,20200527,83145,0,1096100,1096300,1096100,51,1,-51
history,TX00,15979,20200527,83150,0,1096100,1096300,1095900,56,1,-56
history,TX00,15980,20200527,83155,0,1095800,1095900,1095800,57,1,-57
history,TX00,15981,20200527,83200,0,1095500,1095900,1095800,57,1,#57
history,TX00,15982,20200527,83205,0,1095500,1095900,1096100,68,1,+68
history,TX00,15983,20200527,83210,0,1096000,1096100,1096100,72,1,+72
history,TX00,15984,20200527,83215,0,1096100,1096300,1096100,71,1,-71
history,TX00,15985,20200527,83220,0,1096100,1096300,1096100,71,1,-71
history,TX00,15986,20200527,83225,0,1096100,1096300,1096100,71,1,-71
history,TX00,15987,20200527,83230,0,1096100,1096300,1096100,71,1,-71
history,TX00,15988,20200527,83235,0,1096100,1096300,1096100,71,1,-71
history,TX00,15989,20200527,83240,0,1096100,1096300,1096100,71,1,-71
history,TX00,15990,20200527,83245,0,1096100,1096300,1096200,71,1,#71
history,TX00,15991,20200527,83250,0,1096200,1096300,1096100,73,1,-73
history,TX00,15992,20200527,83255,0,1096000,1096100,1097000,87,1,+87
history,TX00,15993,20200527,83300,0,1096900,1097100,1096900,88,1,-88
history,TX00,15994,20200527,83305,0,1096500,1097000,1096900,88,1,#88
history,TX00,15995,20200527,83310,0,1096500,1097000,1097100,90,1,+90
history,TX00,15996,20200527,83315,0,1097000,1097100,1097100,90,1,+90
history,TX00,15997,20200527,83320,0,1097000,1097100,1096900,88,1,-88
history,TX00,15998,20200527,83325,0,1096500,1097000,1096900,88,1,#88
history,TX00,15999,20200527,83330,0,1096500,1097000,1096100,90,1,-90
history,TX00,16000,20200527,83335,0,1096100,1096300,1096300,93,1,+93
history,TX00,16001,20200527,83340,0,1096100,1096300,1096300,93,1,+93
history,TX00,16002,20200527,83345,0,1096100,1096300,1096300,93,1,+93
history,TX00,16003,20200527,83350,0,1096100,1096300,1096300,93,1,+93
history,TX00,16004,20200527,83355,0,1096100,1096300,1096300,93,1,+93
history,TX00,16005,20200527,83400,0,1096100,1096300,1096100,93,1,-93
history,TX00,16006,20200527,83405,0,1096100,1096300,1096100,93,1,-93
history,TX00,16007,20200527,83410,0,1096100,1096300,1096100,93,1,-93
history,TX00,16008,20200527,83415,0,1096100,1096300,1096300,95,1,+95
history,TX00,16009,20200527,83420,0,1096100,1096300,1096300,95,1,+95
