status,stockNo,nPtr,lDate,lTimehms,lTimemillismicros,nBid,nAsk,nClose,nQty,nSimulate,addSubNQty
history,TX00,21597,20200604,8:30:05,0,0,0,11414,7,1,7
history,TX00,21598,20200604,8:30:10,0,11414,11439,11401,21,1,-21
history,TX00,21599,20200604,8:30:15,0,11401,11439,11401,21,1,-21
history,TX00,21600,20200604,8:30:20,0,11401,11439,11400,25,1,-25
history,TX00,21601,20200604,8:30:25,0,11400,11439,11401,25,1,#25
history,TX00,21602,20200604,8:30:30,0,11401,11433,11401,25,1,-25
history,TX00,21603,20200604,8:30:35,0,11401,11433,11401,25,1,-25
history,TX00,21604,20200604,8:30:40,0,11401,11433,11402,25,1,#25
history,TX00,21605,20200604,8:30:45,0,11402,11433,11401,27,1,-27
history,TX00,21606,20200604,8:30:50,0,11401,11425,11401,27,1,-27
history,TX00,21607,20200604,8:30:55,0,11401,11425,11401,27,1,-27
history,TX00,21608,20200604,8:31:00,0,11401,11425,11401,27,1,-27
history,TX00,21609,20200604,8:31:05,0,11401,11425,11414,28,1,#28
history,TX00,21610,20200604,8:31:10,0,11414,11425,11414,29,1,-29
history,TX00,21611,20200604,8:31:15,0,11414,11425,11411,31,1,-31
history,TX00,21612,20200604,8:31:20,0,11411,11414,11420,28,1,28
history,TX00,21613,20200604,8:31:25,0,11420,11425,11420,28,1,-28
history,TX00,21614,20200604,8:31:30,0,11420,11425,11418,28,1,-28
history,TX00,21615,20200604,8:31:35,0,11418,11425,11418,28,1,-28
history,TX00,21616,20200604,8:31:40,0,11418,11425,11418,28,1,-28
history,TX00,21617,20200604,8:31:45,0,11418,11425,11418,28,1,-28
history,TX00,21618,20200604,8:31:50,0,11418,11425,11418,28,1,-28
history,TX00,21619,20200604,8:31:55,0,11418,11425,11418,28,1,-28
history,TX00,21620,20200604,8:32:00,0,11418,11425,11418,28,1,-28
history,TX00,21621,20200604,8:32:05,0,11418,11425,11419,28,1,#28
history,TX00,21622,20200604,8:32:10,0,11419,11425,11419,28,1,-28
history,TX00,21623,20200604,8:32:15,0,11419,11425,11420,28,1,#28
history,TX00,21624,20200604,8:32:20,0,11420,11425,11420,28,1,-28
history,TX00,21625,20200604,8:32:25,0,11420,11425,11418,28,1,-28
history,TX00,21626,20200604,8:32:30,0,11418,11425,11418,28,1,-28
history,TX00,21627,20200604,8:32:35,0,11418,11425,11420,28,1,#28
history,TX00,21628,20200604,8:32:40,0,11420,11425,11420,28,1,-28
history,TX00,21629,20200604,8:32:45,0,11420,11425,11420,32,1,-32
history,TX00,21630,20200604,8:32:50,0,11420,11425,11420,28,1,-28
history,TX00,21631,20200604,8:32:55,0,11420,11425,11420,28,1,-28
history,TX00,21632,20200604,8:33:00,0,11420,11425,11420,28,1,-28
