status,stockNo,nPtr,lDate,lTimehms,lTimemillismicros,nBid,nAsk,nClose,nQty,nSimulate,addSubNQty
history,TX00,0,20200526,145005,0,0,0,0,0,1,#0
history,TX00,1,20200526,145010,0,1095700,1101800,0,0,1,-0
history,TX00,2,20200526,145015,0,1095700,1101800,0,0,1,-0
history,TX00,3,20200526,145020,0,1100200,1101800,0,0,1,-0
history,TX00,4,20200526,145025,0,1100200,1101800,1100200,1,1,-1
history,TX00,5,20200526,145030,0,1100200,1101800,1101200,1,1,#1
history,TX00,6,20200526,145035,0,1101200,1101800,1101800,2,1,+2
history,TX00,7,20200526,145040,0,1101200,1102600,1101800,2,1,#2
history,TX00,8,20200526,145045,0,1101200,1102600,1101800,2,1,#2
history,TX00,9,20200526,145050,0,1101200,1102600,1101800,2,1,#2
history,TX00,10,20200526,145055,0,1101200,1101800,1101200,4,1,-4
history,TX00,11,20200526,145100,0,1100200,1101200,1101200,4,1,+4
history,TX00,12,20200526,145105,0,1100200,1101200,1101200,4,1,+4
history,TX00,13,20200526,145110,0,1100200,1101200,1101200,4,1,+4
history,TX00,14,20200526,145115,0,1100200,1101200,1101100,4,1,#4
history,TX00,15,20200526,145120,0,1100200,1101200,1101100,4,1,#4
history,TX00,16,20200526,145125,0,1100200,1101200,1101100,4,1,#4
history,TX00,17,20200526,145130,0,1100200,1101200,1101100,4,1,#4
history,TX00,18,20200526,145135,0,1100200,1101200,1101100,4,1,#4
history,TX00,19,20200526,145140,0,1100200,1101200,1101100,4,1,#4
history,TX00,20,20200526,145145,0,1100200,1101200,1101200,5,1,+5
history,TX00,21,20200526,145150,0,1100200,1101200,1101100,5,1,#5
history,TX00,22,20200526,145155,0,1100200,1101100,1101100,4,1,+4
history,TX00,23,20200526,145200,0,1100200,1101100,1101100,4,1,+4
history,TX00,24,20200526,145205,0,1100200,1101100,1101100,4,1,+4
history,TX00,25,20200526,145210,0,1100200,1101100,1101100,4,1,+4
history,TX00,26,20200526,145215,0,1100200,1101100,1101000,4,1,#4
history,TX00,27,20200526,145220,0,1100200,1101000,1101000,4,1,+4
history,TX00,28,20200526,145225,0,1100200,1101000,1101000,4,1,+4
history,TX00,29,20200526,145230,0,1100200,1101000,1101000,4,1,+4
history,TX00,30,20200526,145235,0,1100200,1101000,1101000,4,1,+4
history,TX00,31,20200526,145240,0,1100200,1101000,1101000,4,1,+4
